national_no,name,identifier,generation,types,family,stage,baseline_source,audit_class,intended_role,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,signature_move_policy,strong_move_gate,wild_capture_moveset_policy,vega_existing_status,review_confidence,implementation_note
473,マンムー,mamoswine,4,こおり／じめん,ウリムー → イノムー → マンムー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,アイススピナー / れいとうビーム / ゆきげしき / じならし,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アイススピナー / じならし,トリプルアクセル / ねっさのだいち,オーロラベール / まきびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑325）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
474,ポリゴンＺ,porygon-z,4,ノーマル,ポリゴン → ポリゴン２ → ポリゴンＺ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ばくおんぱ（音系のみ） / アンコール,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑077）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
475,エルレイド,gallade,4,エスパー／かくとう,ラルトス → キルリア → サーナイト → エルレイド,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理アタッカー,サイコファング / めいそう / インファイト / ビルドアップ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,サイコショック / ドレインパンチ,トリック / コーチング,ひかりのかべ / みきり,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑303）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
476,ダイノーズ,probopass,4,いわ／はがね,ノズパス → ダイノーズ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,メテオビーム / ステルスロック / てっていこうせん / てっぺき,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ステルスロック / ラスターカノン,メテオビーム / アイアンヘッド,すなあらし / ボディプレス,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,殿堂入り後教え技。パワフルハーブとの組合せを施設で検証,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
477,ヨノワール,dusknoir,4,ゴースト,ヨマワル → サマヨール → ヨノワール,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理アタッカー,ポルターガイスト / おにび,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,シャドークロー,ポルターガイスト,みちづれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,殿堂入り後教え技。相手が持ち物なしの場合の失敗処理を現代仕様にする,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑269）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
478,ユキメノコ,froslass,4,こおり／ゴースト,ユキワラシ → オニゴーリ → ユキメノコ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ふぶき / ゆきげしき / シャドーボール / おにび,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アイススピナー / シャドークロー,トリプルアクセル / ポルターガイスト,オーロラベール / みちづれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
479,ロトム,rotom,4,でんき／ゴースト,ロトム,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,スパーク / でんきショック / かげうち / おどろかす,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ / シャドークロー,エレキネット / ポルターガイスト,じゅうでん / みちづれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
480,ユクシー,uxie,4,エスパー,ユクシー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,耐久・補助,サイコカッター / ねんりき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック,トリック,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
481,エムリット,mesprit,4,エスパー,エムリット,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ねんりき / めいそう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック,トリック,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
482,アグノム,azelf,4,エスパー,アグノム,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ねんりき / めいそう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック,トリック,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
483,ディアルガ,dialga,4,はがね／ドラゴン,ディアルガ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ミラーショット / てっぺき / りゅうのいぶき / りゅうのまい,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ラスターカノン / ワイドブレイカー,アイアンヘッド / りゅうせいぐん,なし（タマゴ未発見／伝説・幻）,ときのほうこうを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,最終進化Lv50以上。600族はLv55以上,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑145）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
484,パルキア,palkia,4,みず／ドラゴン,パルキア,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,みずのはどう / あまごい / りゅうのいぶき / りゅうのまい,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク / ワイドブレイカー,クイックターン / りゅうせいぐん,なし（タマゴ未発見／伝説・幻）,あくうせつだんを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,最終進化Lv50以上。600族はLv55以上,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑146）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
485,ヒードラン,heatran,4,ほのお／はがね,ヒードラン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ひのこ / おにび / ミラーショット / てっぺき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,かえんほうしゃ / ラスターカノン,ねっぷう / アイアンヘッド,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑379）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
486,レジギガス,regigigas,4,ノーマル,レジギガス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,ずつき / アンコール,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
487,ギラティナ,giratina,4,ゴースト／ドラゴン,ギラティナ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,おどろかす / おにび / りゅうのいぶき / りゅうのまい,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,シャドークロー / ワイドブレイカー,ポルターガイスト / りゅうせいぐん,なし（タマゴ未発見／伝説・幻）,シャドーダイブを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,最終進化Lv50以上。600族はLv55以上,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
488,クレセリア,cresselia,4,エスパー,クレセリア,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,耐久・補助,サイコカッター / ねんりき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック,トリック,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
489,フィオネ,phione,4,みず,フィオネ → マナフィ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,アクアジェット / みずのはどう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク,クイックターン,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑382）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
490,マナフィ,manaphy,4,みず,フィオネ → マナフィ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ハイドロポンプ / あまごい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク,クイックターン,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑383）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
491,ダークライ,darkrai,4,あく,ダークライ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,バークアウト / ちょうはつ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,バークアウト,はたきおとす,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑147）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
492,シェイミ,shaymin,4,くさ,シェイミ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,メガドレイン / やどりぎのタネ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
493,アルセウス,arceus,4,ノーマル,アルセウス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,スピードスター / アンコール,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
494,ビクティニ,victini,5,エスパー／ほのお,ビクティニ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ねんりき / めいそう / ひのこ / おにび,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック / かえんほうしゃ,トリック / ねっぷう,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
495,ツタージャ,snivy,5,くさ,ツタージャ → ジャノビー → ジャローダ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,はっぱカッター / やどりぎのタネ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
496,ジャノビー,servine,5,くさ,ツタージャ → ジャノビー → ジャローダ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ギガドレイン / やどりぎのタネ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
497,ジャローダ,serperior,5,くさ,ツタージャ → ジャノビー → ジャローダ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,リーフストーム / リーフブレード / やどりぎのタネ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,リーフストームを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
498,ポカブ,tepig,5,ほのお,ポカブ → チャオブー → エンブオー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ひのこ / おにび,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ,ねっぷう,にほんばれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
499,チャオブー,pignite,5,ほのお／かくとう,ポカブ → チャオブー → エンブオー,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,ニトロチャージ / かえんほうしゃ / かわらわり / はどうだん,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ / ドレインパンチ,ねっぷう / コーチング,にほんばれ / みきり,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
500,エンブオー,emboar,5,ほのお／かくとう,ポカブ → チャオブー → エンブオー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,ヒートスタンプ / ニトロチャージ / かえんほうしゃ / おにび,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ / ドレインパンチ,ねっぷう / コーチング,にほんばれ / みきり,ヒートスタンプを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
501,ミジュマル,oshawott,5,みず,ミジュマル → フタチマル → ダイケンキ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,アクアジェット / みずのはどう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
502,フタチマル,dewott,5,みず,ミジュマル → フタチマル → ダイケンキ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,アクアブレイク / なみのり,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
