vega_dex_no,name,types,family,stage,intended_role,baseline_source,audit_class,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,vega_custom_move_policy,strong_move_gate,wild_capture_moveset_policy,source_verification,review_confidence
200,レディバル,むし／かくとう,レディバル,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガホーン / ねばねばネット / インファイト / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,とんぼがえり / ドレインパンチ,むしくい / コーチング,いとをはく / みきり,代表独自技候補: しゅうげき / マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
202,ケンタル,ノーマル,ケンタル,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,すてみタックル / アンコール,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
206,アスリスク,ゴースト,アスリスク,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,シャドーボール / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,シャドークロー,ポルターガイスト,みちづれ,代表独自技候補: たたり,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
207,プラネム,エスパー,プラネム,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック,トリック,ひかりのかべ,代表独自技候補: サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
208,モドラ,ドラゴン,モドラ → コモラゴン,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンテール / りゅうのまい,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー,りゅうせいぐん,こわいかお,代表独自技候補: ドラゴンビート,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
209,コモラゴン,ドラゴン／かくとう,モドラ → コモラゴン,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,げきりん / りゅうのまい / インファイト / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー / ドレインパンチ,りゅうせいぐん / コーチング,こわいかお / みきり,代表独自技候補: ドラゴンビート / マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
214,ヤミクラゲ,みず／あく,ヤミクラゲ,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,たきのぼり / あまごい / はたきおとす / ちょうはつ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / バークアウト,クイックターン / はたきおとす,アクアリング / わるだくみ,代表独自技候補: アクアボルト / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
215,コイナリ,ほのお,コイナリ → オオイナリ,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ひのこ / おにび,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
216,オオイナリ,ほのお,コイナリ → オオイナリ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,だいもんじ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
217,キャンペル,ゴースト／ほのお,キャンペル → ホムロソク,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,おどろかす / おにび / ひのこ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,シャドークロー / かえんほうしゃ,ポルターガイスト / ねっぷう,みちづれ / にほんばれ,代表独自技候補: たたり / マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
218,ホムロソク,ゴースト／ほのお,キャンペル → ホムロソク,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,シャドーボール / おにび / だいもんじ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,シャドークロー / かえんほうしゃ,ポルターガイスト / ねっぷう,みちづれ / にほんばれ,代表独自技候補: たたり / マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
219,ガレキダマ,いわ／ゴースト,ガレキダマ → ジバクン,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,いわおとし / げんしのちから / かげうち / おどろかす,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ステルスロック / シャドークロー,メテオビーム / ポルターガイスト,すなあらし / みちづれ,代表独自技候補: ダイヤブラスト / たたり,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
220,ジバクン,いわ／ゴースト,ガレキダマ → ジバクン,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ストーンエッジ / ステルスロック / ポルターガイスト / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ステルスロック / シャドークロー,メテオビーム / ポルターガイスト,すなあらし / みちづれ,代表独自技候補: ダイヤブラスト / たたり,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
221,ワラコゾウ,じめん,ワラコゾウ → ワラガシラ,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,どろかけ / すなあらし,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし,ねっさのだいち,まきびし,代表独自技候補: すなかぜ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
222,ワラガシラ,じめん／ひこう,ワラコゾウ → ワラガシラ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,じしん / すなあらし / ブレイブバード / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし / アクロバット,ねっさのだいち / おいかぜ,まきびし / はねやすめ,代表独自技候補: すなかぜ / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
225,ドルマイン,はがね,ドルマイン,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ラスターカノン,アイアンヘッド,ボディプレス,代表独自技候補: じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
233,プカスカ,でんき／ひこう,プカスカ → スモーガス,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,でんきショック / でんじは / かぜおこし / おいかぜ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ / アクロバット,エレキネット / おいかぜ,じゅうでん / はねやすめ,代表独自技候補: マッハボルト / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
234,スモーガス,でんき／どく,プカスカ → スモーガス,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみなり / でんじは / ヘドロウェーブ / どくどく,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ / ベノムショック,エレキネット / ダストシュート,じゅうでん / どくびし,代表独自技候補: マッハボルト / ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
235,ココロン,くさ,ココロン → カモドック,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
236,カモドック,くさ,ココロン → カモドック,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,エナジーボール / やどりぎのタネ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
237,トノッパー,みず,トノッパー → ガルラーダ,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
238,ガルラーダ,みず／かくとう,トノッパー → ガルラーダ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,たきのぼり / あまごい / インファイト / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / ドレインパンチ,クイックターン / コーチング,アクアリング / みきり,代表独自技候補: アクアボルト / マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
239,ハサーガ,かくとう／はがね,ハサーガ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,インファイト / ビルドアップ / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ドレインパンチ / ラスターカノン,コーチング / アイアンヘッド,みきり / ボディプレス,代表独自技候補: マグナムパンチ / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
240,アメクジ,みず,アメクジ → アメリシア,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
241,アメリシア,みず／どく,アメクジ → アメリシア,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイドロポンプ / あまごい / ヘドロウェーブ / どくどく,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / ベノムショック,クイックターン / ダストシュート,アクアリング / どくびし,代表独自技候補: アクアボルト / ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
242,カララン,ノーマル／くさ,カララン → カンカーン,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / スピードスター / はっぱカッター / メガドレイン,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / くさむすび,てだすけ / グラススライダー,あくび / こうごうせい,代表独自技候補: スピンテール / リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
243,カンカーン,ノーマル／くさ,カララン → カンカーン,進化先／単独種,耐久・補助,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイパーボイス / アンコール / あくび / ギガドレイン,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / くさむすび,てだすけ / グラススライダー,あくび / こうごうせい,代表独自技候補: スピンテール / リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
244,クラウン,ノーマル,クラウン → テイルーン,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
245,テイルーン,ノーマル／ひこう,クラウン → テイルーン,進化先／単独種,高速特殊,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ばくおんぱ（音系のみ） / アンコール / ぼうふう / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,代表独自技候補: スピンテール / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
246,モグルトン,ノーマル／じめん,モグルトン,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,すてみタックル / アンコール / じしん / すなあらし,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / じならし,てだすけ / ねっさのだいち,あくび / まきびし,代表独自技候補: スピンテール / すなかぜ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
251,ラクチャン,ノーマル,ラクチャン → ドゴン,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
